Movie Id ,Title,Genre,Tags,Languages,Series or Movie,Runtime,Director,Director_id,Writer,Actors,View Rating,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date
77,Emergency Interrogation Room,Mystery,"Mystery Programmes,Drama Programmes,Crime TV Dramas,Japanese TV Programmes",Japanese,Series,30,Jota Tsunehiro,70,,"Yûki Amami, Tetsushi Tanaka, Kôsuke Suzuki, Mokomichi Hayami",Not Rated,0,0,,12/23/2020
78,The Grooms Price,Mystery,"African Films,Romantic Comedies,Comedies,Romantic Films,South African Films",English,Movie,30,Víctor Cárdenas,71,"Andrea Codriansky, Víctor Cárdenas","Robert Fucilla, Steve Lanter, Rachel Deboer, Víctor Cárdenas",Not Rated,0,0,,12/6/2020
79,Hozukis Coolheadedness,Mystery,"Anime Series,Japanese TV Shows,Sci-Fi & Fantasy Anime,Seinen Anime,TV Shows Based on Manga",Japanese,Series,30,Kazuo Ikehiro,72,"Yoshimi Shinozaki, Ryô Toba","Hideko Hara, Yôko Moriguchi, Sei Hiraizumi, Hiroki Matsukata",Not Rated,0,0,,9/23/2020
80,Diamant Noir,Mystery,"French Movies,Dramas,Crime Dramas,Crime Movies", French,Movie,120,André Hugon,73,"Jean Aicard, André Hugon","Armand Bernard, Claude Mérelle, Pierre Fresnay, Ginette Maddie",Not Rated,0,0,,12/27/2019
81,The CEO,Mystery,"Mysteries,African Movies,Thrillers,Nollywood Movies,Dramas,International Thrillers,International Dramas",Arabic,Movie,120,Kunle Afolayan,74,Tunde Babalola,"Wale Ojo, Angélique Kidjo, Jimmy Jean-Louis, Nico Panagio",PG-13,0,0,,9/1/2019
82,Til Death Do Us Part,Mystery,"TV Dramas,Taiwanese TV Shows,Chinese TV Shows,TV Thrillers",English,Series,30,Chris Stokes,75,,Ronan Summers,Not Rated,0,0,,8/15/2019
83,Non-Core,Mystery,"Mysteries,Crime Dramas,Movies based on Books,Dramas,Japanese Movies",Japanese,Movie,170,Naoto Kumazawa,76,"Mahokaru Numata, Naoto Kumazawa","Ken'ichi Matsuyama, Yuriko Yoshitaka, Kaya Kiyohara, Tae Kimura",Not Rated,0,2,,4/25/2019
84,Zoe,Mystery,"Sci-Fi Dramas,Romantic International Movies,Romantic Dramas,International Sci-Fi & Fantasy,Sci-Fi & Fantasy,Independent Dramas,International Dramas,Romantic Independent Movies,Independent Movies,Romantic Movies,Dramas,International Movies,Sci-Fi",English,Movie,120,Drake Doremus,77,,,Not Rated,0,0,,7/21/2018
85,Outside In,Mystery,"Dramas,Independent Movies,Independent Dramas",English,Movie,120,Hunter Lee Hughes,78,Hunter Lee Hughes,,Not Rated,0,0,,6/1/2018
86,Love Daily,Romance,Teen TV Shows,English,Series,30,Leo Howard,79,,"Kelli Berglund, Joey Bragg, Leo Howard, Jack Griffo",Not Rated,0,1,,2/2/2021
