Title,Genre,Languages,Type,CountryAvailability,Runtime,Director,ViewRating,AwardsReceived,AwardsNominatedFor,Boxoffice,NetflixReleaseDate,Year
Scandalous,Comedy,Spanish,Movie,Netherlands,120,lvaro Begines,Unrated,0,0,0,11/28/2020,2020
Tesla,Biography,English,Movie,Netherlands,120,Michael Almereyda,PG-13,1,0,93147,11/28/2020,2020
The Immortal,Crime,Italian,Movie,Netherlands,120,Marco DAmore,R,3,3,0,11/28/2020,2020
The Informer,Action,English,Movie,Netherlands,120,Andrea Di Stefano,R,0,1,300460,11/28/2020,2020
Yummy,Action,Dutch,Movie,Netherlands,120,Lars Damoiseaux,Unrated,0,1,0,11/28/2020,2020
Men at Work  Miami,Comedy,Dutch,Movie,Netherlands,120,Johan Nijenhuis,R,0,0,0,11/28/2020,2020
Go Fish,Comedy,English,Movie,Netherlands,120,Rose Troche,R,4,4,2405285,11/28/2020,2020
Fukushima 50,Drama,Japanese,Movie,Netherlands,170,Setsur Wakamatsu,R,0,0,0,11/28/2020,2020
Force of Nature,Action,English,Movie,Netherlands,120,Michael Polish,R,0,0,0,11/28/2020,2020
Dantes Inferno,Adventure,English,Movie,Belgium,120,Steven Spielberg ,R,0,0,0,11/28/2020,2020
Bumperkleef,Horror,Dutch,Movie,Netherlands,120,Lodewijk Crijns,R,1,6,0,11/28/2020,2020
The Uncanny Counter,Action,Korean,Series,United Kingdom,30,Steven Spielberg ,R,0,0,0,11/28/2020,2020
Die Gustloff,Drama,German,Series,Switzerland,30,Joseph Vilsmaier,R,1,1,0,11/28/2020,2020
Larry the Cable Guy Remain Seated,Comedy,English,Movie,Czech Republic,120,Brian VolkWeiss,R,0,0,0,11/28/2020,2020
Paw Patrol Jet to the Rescue,Family,English,Movie,Canada,120,Charles E Bastien,R,0,0,0,11/28/2020,2020
The Postcard Killings,Crime,Dutch,Movie,Canada,120,Danis Tanovic,Unrated,0,0,0,11/28/2020,2020
Primal,Adventure,English,Movie,Canada,120,Josh Reed,Unrated,0,0,0,11/28/2020,2020
Survive the Night,Action,English,Movie,Canada,120,Matt Eskandari,R,0,0,0,11/28/2020,2020
True History of the Kelly Gang,Biography,English,Movie,Canada,170,Justin Kurzel,R,6,13,33817,11/28/2020,2020
Stavisky,Biography,French,Movie,France,120,Alain Resnais,PG,3,1,13793,11/28/2020,2020
The Inheritor,Action,French,Movie,France,120,Philippe Labro,PG,0,0,0,11/28/2020,2020
Widows,Crime,English,Movie,Canada,170,Steve McQueen,R,18,94,42402632,11/28/2020,2020
The Magnificent One,Comedy,English,Movie,France,120,Richard Greatrex,R,0,0,0,11/28/2020,2020
The Night Caller,Action,French,Movie,France,170,Henri Verneuil,R,0,0,0,11/28/2020,2020
The Wretched,Horror,English,Movie,Canada,120,Drew T Pierce,Unrated,4,4,1814193,11/28/2020,2020
The Professional,Action,French,Movie,France,120,Georges Lautner,Unrated,2,1,0,11/28/2020,2020
Zombillenium,Animation,French,Movie,Canada,120,Arthur de Pins,R,0,7,0,11/28/2020,2020
The Vultures,Action,French,Movie,France,120,Henri Verneuil,R,0,0,0,11/28/2020,2020
Love Is a Funny Thing,Comedy,French,Movie,France,120,Claude Lelouch,GP,0,0,0,11/28/2020,2020
Le marginal,Action,French,Movie,France,120,Jacques Deray,R,0,0,0,11/28/2020,2020
Le guignolo,Comedy,French,Movie,France,120,Georges Lautner,R,0,0,0,11/28/2020,2020
Lincorrigible,Comedy,Greek,Movie,France,120,Babis Makridis,Unrated,0,8,0,11/28/2020,2020
HoldUp,Comedy,English,Movie,France,120,Alexandre Arcady,R,0,0,0,11/28/2020,2020
Happy Easter,Comedy,French,Movie,France,120,Georges Lautner,R,0,0,0,11/28/2020,2020
Cop or Hood,Action,French,Movie,France,120,Georges Lautner,PG,1,1,0,11/28/2020,2020
City of Joy,Drama,English,Movie,Canada,170,Roland Joff,PG-13,0,1,14683921,11/28/2020,2020
Cartouche,Action,French,Movie,France,120,Philippe de Broca,Unrated,0,1,0,11/28/2020,2020
Body of My Enemy,Crime,French,Movie,France,170,Henri Verneuil,R,0,0,0,11/28/2020,2020
Buffaloed,Comedy,English,Movie,Canada,120,Tanya Wexler,Unrated,0,0,29118,11/28/2020,2020
Ace of Aces,Adventure,German,Movie,France,120,Grard Oury,R,0,0,0,11/28/2020,2020
Best of the Best,Action,English,Movie,Canada,120,Robert Radler,PG-13,0,1,1700000,11/28/2020,2020
1991,Comedy,French,Movie,Canada,120,Ricardo Trogi,R,7,15,2342264,11/28/2020,2020
Space Brothers,Comedy,Japanese,Series,Japan,30,Yoshitaka Mori,R,2,0,0,11/27/2020,2020
Tower of God,Animation,Japanese,Series,Japan,30,Steven Spielberg ,TV-14,1,6,0,11/27/2020,2020
To The Abandoned Sacred Beasts,Animation,Japanese,Series,Japan,30,Steven Spielberg ,R,0,0,0,11/27/2020,2020
Yashahime Princess HalfDemon,Animation,Japanese,Series,Japan,30,Steven Spielberg ,R,0,1,0,11/27/2020,2020
Rich Man,Comedy,Korean,Series,Japan,30,Steven Spielberg ,R,0,0,0,11/27/2020,2020
Path of the Dragons,Comedy,Japanese,Series,Japan,30,Steven Spielberg ,R,0,0,0,11/27/2020,2020
Olympia Kyklos,Animation,Japanese,Series,Japan,30,Steven Spielberg ,R,0,0,0,11/27/2020,2020
Moriarty the Patriot,Animation,Japanese,Series,Japan,30,Steven Spielberg ,TV-14,0,0,0,11/27/2020,2020
Im Standing on a Million Lives,Action,English,Series,Japan,30,George Lucas,PG,26,69,474544677,11/27/2020,2020
DRAGON QUEST The Adventure of Dai,Animation,Japanese,Series,Japan,30,Steven Spielberg ,R,0,1,0,11/27/2020,2020
Double Fantasy,Drama,Japanese,Series,Japan,30,Steven Spielberg ,R,0,0,0,11/27/2020,2020
Dennou Coil,Animation,Japanese,Series,Japan,30,Steven Spielberg ,TV-14,1,0,0,11/27/2020,2020
The Day I Became a God,Animation,Japanese,Series,Japan,30,Steven Spielberg ,TV-14,0,0,0,11/27/2020,2020
Coffee  Vanilla,Short,English,Series,Japan,30,Todd Bartoo,R,0,0,0,11/27/2020,2020
Blue Spring Ride,Animation,Japanese,Series,Japan,30,Steven Spielberg ,R,1,0,0,11/27/2020,2020
Beelzebub,Animation,Japanese,Series,Japan,30,Steven Spielberg ,TV-MA,0,0,0,11/27/2020,2020
Mozu the Movie,Thriller,Japanese,Movie,Japan,120,Eiichir Hasumi,R,0,0,0,11/27/2020,2020
Motherless Brooklyn,Crime,English,Movie,Japan,170,Edward Norton,R,2,15,9277736,11/27/2020,2020
Mothra,Adventure,Japanese,Movie,Japan,120,Ishir Honda,Passed,0,2,0,11/27/2020,2020
Nana 2,Drama,Japanese,Movie,Japan,170,Kentar Ohtani,R,0,0,0,11/27/2020,2020
Nana,Drama,Japanese,Movie,Japan,120,Kentar Ohtani,R,0,2,0,11/27/2020,2020
Nightmare Cinema,Horror,English,Movie,Japan,120,David Slade,R,0,2,0,11/27/2020,2020
Ouran High School Host Club,Animation,Japanese,Movie,Japan,120,Steven Spielberg ,TV-14,0,0,0,11/27/2020,2020
Pandemic,Action,English,Movie,Japan,170,John Suits,TV-MA,0,0,0,11/27/2020,2020
Prison 13,Thriller,Japanese,Movie,Japan,120,Kensaku Watanabe,R,0,0,0,11/27/2020,2020
Queen Bee,Drama,English,Movie,Japan,170,Ranald MacDougall,Unrated,0,0,0,11/27/2020,2020
Rebirth of Mothra II,Fantasy,Japanese,Movie,Japan,120,Kunio Miyoshi,Unrated,0,0,0,11/27/2020,2020
Rebirth of Mothra III,Adventure,Japanese,Movie,Japan,120,Okihiro Yoneda,TV-G,0,0,0,11/27/2020,2020
Rebirth of Mothra,Action,Japanese,Movie,Japan,120,Okihiro Yoneda,Unrated,0,0,0,11/27/2020,2020
Richard Jewell,Biography,English,Movie,Japan,170,Clint Eastwood,R,7,19,22345542,11/27/2020,2020
Rodan,Adventure,Japanese,Movie,Japan,120,Ishir Honda,Unrated,0,0,500000,11/27/2020,2020
Rookies the Movie Graduation,Drama,Japanese,Movie,Japan,170,Yichir Hirakawa,R,1,0,0,11/27/2020,2020
Sand Chronicles,Drama,Japanese,Movie,Japan,170,Steven Spielberg ,R,0,0,0,11/27/2020,2020
Shimajiro to Ururu no Heroland,Animation,Japanese,Movie,Japan,120,Takamitsu Kawamura,R,0,0,0,11/27/2020,2020
Sky of Love,Drama,Japanese,Movie,Japan,170,Natsuki Imai,R,4,0,0,11/27/2020,2020
SPEC Heaven,Drama,Japanese,Movie,Japan,120,Yukihiko Tsutsumi,R,0,0,0,11/27/2020,2020
Stolen Identity,Mystery,Japanese,Movie,Japan,120,Hideo Nakata,R,0,0,0,11/27/2020,2020
The Swindlers,Action,Korean,Movie,Japan,120,Chang Won Jang,Unrated,0,3,241916,11/27/2020,2020
Tidal Wave,Action,Korean,Movie,Japan,170,JK Youn,R,6,12,0,11/27/2020,2020
The War of the Gargantuas,Action,Japanese,Movie,Japan,120,Ishir Honda,G,0,0,0,11/27/2020,2020
The Wings of the Kirin,Crime,Japanese,Movie,Japan,170,Nobuhiro Doi,R,1,0,0,11/27/2020,2020
The Human Vapor,Crime,Japanese,Movie,Japan,120,Ishir Honda,Unrated,0,0,0,11/27/2020,2020
The House of Hanging,Drama,Japanese,Movie,Japan,170,Kon Ichikawa,R,0,0,0,11/27/2020,2020
Hold Up Down,Comedy,Japanese,Movie,Japan,120,SABU,R,0,0,0,11/27/2020,2020
Hell Girl,Animation,Japanese,Movie,Japan,120,Steven Spielberg ,TV-MA,0,0,0,11/27/2020,2020
Hard Luck Hero,Action,Japanese,Movie,Japan,120,SABU,R,0,0,0,11/27/2020,2020
The HMan,Crime,Japanese,Movie,Japan,120,Ishir Honda,Approved,0,1,0,11/27/2020,2020
Glory Of Team Batista,Comedy,Japanese,Movie,Japan,120,Yoshihiro Nakamura,R,0,0,0,11/27/2020,2020
The Ghost of Yotsuya,Horror,Japanese,Movie,Japan,120,Nobuo Nakagawa,R,0,0,0,11/27/2020,2020
Frankenstein Conquers the World,Horror,Japanese,Movie,Japan,120,Ishir Honda,Unrated,0,0,0,11/27/2020,2020
The Floating Castle,Comedy,Japanese,Movie,Japan,170,Shinji Higuchi,R,1,14,0,11/27/2020,2020
Fantastipo,Comedy,Japanese,Movie,Japan,120,Shogo Yabuuchi,R,0,0,0,11/27/2020,2020
Dragon Head,Drama,Japanese,Movie,Japan,170,Jji Iida,R,2,2,0,11/27/2020,2020
Dororo,Animation,Japanese,Movie,Japan,170,Steven Spielberg ,Unrated,1,3,0,11/27/2020,2020
The Devils Island,Drama,Polish,Movie,Japan,170,Andrzej Zulawski,Unrated,1,1,0,11/27/2020,2020
The Devils Ballad,Drama,Polish,Movie,Japan,170,Andrzej Zulawski,Unrated,1,1,0,11/27/2020,2020
Dare to Stop Us,Drama,Japanese,Movie,Japan,120,Kazuya Shiraishi,R,3,4,0,11/27/2020,2020
Cosmic Rescue The Moonlight Generations,Sci-Fi,Japanese,Movie,Japan,120,Shinsuke Sato,R,0,0,0,11/27/2020,2020
The Cat in Their Arms,Comedy,Japanese,Movie,Japan,120,Isshin Inud,R,0,1,0,11/27/2020,2020
Cheese in the Trap,Comedy,Korean,Movie,Japan,120,Steven Spielberg ,R,2,4,0,11/27/2020,2020
Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,Action,English,Movie,Japan,120,Cathy Yan,R,5,38,84158461,11/27/2020,2020
Billionaire Boys Club,Biography,English,Movie,Japan,120,James Cox,R,1,0,1349,11/27/2020,2020
April Bride,Drama,Japanese,Movie,Japan,170,Ryuichi Hiroki,R,2,0,0,11/27/2020,2020
Arizona,Comedy,English,Movie,Japan,120,Jonathan Watson,TV-MA,0,1,0,11/27/2020,2020
American Animals,Biography,English,Movie,Japan,120,Bart Layton,R,10,21,2856954,11/27/2020,2020
The 8Year Engagement,Drama,Japanese,Movie,Japan,120,Takahisa Zeze,R,0,7,0,11/27/2020,2020
64 Part 2,Drama,Japanese,Movie,Japan,120,Takahisa Zeze,R,2,0,0,11/27/2020,2020
Barangay 143,Animation,English,Series,Hong Kong,30,Steven Spielberg ,R,2,8,0,11/27/2020,2020
Third Is My First,Comedy,Filipino,Movie,Hong Kong,120,Real Florido,R,4,9,0,11/27/2020,2020
Iska,Drama,Tagalog,Movie,Hong Kong,120,Theodore Boborol,R,7,5,0,11/27/2020,2020
Riding with Sugar,Short,English,Movie,Brazil,120,Sunu Gonera,R,0,1,0,11/27/2020,2020
Heartbreak High,Drama,English,Series,Australia,30,Steven Spielberg ,R,0,1,0,11/27/2020,2020
Fabulous Lives of Bollywood Wives,Reality-TV,Hindi,Series,Australia,30,Steven Spielberg ,TV-MA,0,0,0,11/27/2020,2020
Before 30,Documentary,Persian,Series,United States,30,Fazlollah Tari,R,0,0,0,11/27/2020,2020
Mosul,Documentary,English,Movie,Australia,120,Daniel Gabriel,Unrated,3,2,0,11/27/2020,2020
Unexpectedly Yours,Comedy,Filipino,Movie,Australia,170,Cathy GarciaMolina,R,0,9,0,11/27/2020,2020
Hard Kill,Action,English,Movie,United States,120,Matt Eskandari,R,0,0,0,11/27/2020,2020
Fantastica,Comedy,Tagalog,Movie,Australia,120,Barry Gonzalez,G,0,5,0,11/27/2020,2020
The Call,Crime,English,Movie,Australia,120,Brad Anderson,R,1,11,51872378,11/27/2020,2020
The Beast,Drama,French,Movie,Australia,120,Walerian Borowczyk,Unrated,0,0,0,11/27/2020,2020
A Go Go Cory Carson Christmas,Animation,English,Movie,Poland,30,Stanley Moore,TV-Y,0,0,0,11/27/2020,2020
Valentino,Biography,English,Series,Germany,30,Ken Russell,R,0,4,0,11/24/2020,2020
Die Frau vom Checkpoint Charlie,Drama,German,Series,Switzerland,30,Miguel Alexandre,R,2,1,0,11/24/2020,2020
Notes for My Son,Drama,Spanish,Movie,Germany,120,Carlos Sorin,TV-MA,0,0,0,11/24/2020,2020
Operation Valkyrie,Biography,German,Movie,Switzerland,120,Jo Baier,PG-13,1,5,0,11/24/2020,2020
Hillbilly Elegy,Drama,English,Movie,Germany,120,Ron Howard,R,1,15,0,11/24/2020,2020
Dragons Rescue Riders Huttsgalor Holiday,Animation,English,Movie,Germany,120,TJ Sullivan,TV-Y,0,0,0,11/24/2020,2020
Andhaghaaram,Horror,Tamil,Movie,Germany,170,V Vignarajan,R,0,0,0,11/24/2020,2020
Shawn Mendes In Wonder,Documentary,English,Movie,Germany,120,Grant Singer,TV-MA,0,0,0,11/23/2020,2020
The Suit,Comedy,Russian,Movie,Lithuania,120,Bakhtyar Khudojnazarov,R,4,7,0,11/23/2020,2020
Whose Streets,Documentary,English,Movie,United States,120,Sabaah Folayan,R,2,18,182799,11/22/2020,2020
In Line,Drama,English,Movie,South Africa,120,Tope Oshin,R,1,0,0,11/22/2020,2020
Voices of Fire,Music,English,Series,Lithuania,30,Steven Spielberg ,TV-PG,0,0,0,11/21/2020,2020
Mismatched,Comedy,Hindi,Series,Lithuania,30,Steven Spielberg ,TV-MA,0,0,0,11/21/2020,2020
If Anything Happens I Love You,Animation,None,Movie,Lithuania,30,Will McCormack,PG,15,6,0,11/21/2020,2020
Alien Xmas,Animation,English,Movie,Lithuania,120,Stephen Chiodo,TV-Y,0,0,0,11/21/2020,2020
Heart  Soul,Comedy,Hindi,Series,United Kingdom,30,Indra Kumar,Unrated,1,6,0,11/20/2020,2020
Playing with Fire,Comedy,English,Movie,Lithuania,120,Andy Fickman,PG,2,2,44451847,11/20/2020,2020
Rocketman,Biography,English,Movie,Lithuania,170,Dexter Fletcher,R,21,70,96368160,11/20/2020,2020
The Princess Switch Switched Again,Comedy,English,Movie,Mexico,120,Mike Rohl,TV-G,0,0,0,11/20/2020,2020
Gemini Man,Action,English,Movie,Lithuania,120,Ang Lee,PG-13,1,5,48546770,11/20/2020,2020
Crawl,Action,English,Movie,Lithuania,120,Alexandre Aja,R,0,4,39014193,11/20/2020,2020
As Aventuras de Poliana,Adventure,Portuguese,Series,Brazil,30,Steven Spielberg ,R,9,6,0,11/19/2020,2020
A Wizards Tale,Short,English,Movie,Brazil,120,Edward Varnie,R,1,1,0,11/19/2020,2020
My Amnesia Girl,Comedy,Filipino,Movie,Lithuania,120,Cathy GarciaMolina,R,0,3,0,11/19/2020,2020
Three Words to Forever,Comedy,Tagalog,Movie,Lithuania,120,Cathy GarciaMolina,R,0,0,0,11/19/2020,2020
Holiday Home Makeover with Mr Christmas,Reality-TV,English,Series,Mexico,30,Steven Spielberg ,TV-G,0,0,0,11/19/2020,2020
Soul Conductor,Drama,Russian,Movie,Russia,120,Ilya S Maksimov,R,1,1,0,11/18/2020,2020
Sparta,Sport,Russian,Movie,Russia,120,Nikolay Kudryashov,R,0,0,0,11/18/2020,2020
Kevin Hart Zero Fks Given,Comedy,English,Movie,Mexico,120,Leslie Small,R,0,0,0,11/18/2020,2020
We Are the Champions,Comedy,Danish,Series,Lithuania,30,Martin Hagbjer,R,1,1,0,11/18/2020,2020
Die Sturmflut,Action,German,Series,Switzerland,30,Jorgo Papavassiliou,R,4,3,0,11/17/2020,2020
A Genius Two Partners and a Dupe,Comedy,Italian,Movie,Switzerland,170,Damiano Damiani,R,1,0,0,11/17/2020,2020
Ainu Mosir,Drama,Japanese,Movie,United Kingdom,120,Takeshi Fukunaga,R,2,5,0,11/17/2020,2020
Survivor,Action,English,Series,United States,30,James McTeigue,PG-13,0,0,0,11/16/2020,2020
18 Again,Comedy,Korean,Series,South Korea,30,Steven Spielberg ,R,0,0,0,11/16/2020,2020
Beyblade Burst Rise,Animation,English,Series,United States,30,Steven Spielberg ,TV-Y7-FV,0,0,0,11/16/2020,2020
A Very Country Christmas,Family,English,Movie,United States,120,Justin G Dyck,PG,0,0,0,11/16/2020,2020
Hometown Holiday,Romance,English,Movie,United States,120,Justin G Dyck,TV-PG,0,0,0,11/16/2020,2020
Arkansas,Crime,English,Movie,United Kingdom,120,Clark Duke,R,0,0,0,11/16/2020,2020
Alter Me,Drama,Tagalog,Movie,South Korea,120,RC Delos Reyes,R,0,0,0,11/16/2020,2020
Porta dos Fundos Contrato Vitalicio,Comedy,Portuguese,Movie,Brazil,120,Ian Sbf,R,0,0,0,11/16/2020,2020
Tattoo Fixers on Holiday,Reality-TV,English,Series,United Kingdom,30,Steven Spielberg ,R,0,0,0,11/15/2020,2020
Romy,Biography,German,Movie,Switzerland,120,Torsten C Fischer,R,3,7,0,11/14/2020,2020
Dresden,Drama,German,Series,Switzerland,30,Roland Suso Richter,R,4,5,0,11/14/2020,2020
A Guy  A Girl,Comedy,English,Movie,Israel,120,Donald Petrie,PG-13,1,8,105813373,11/13/2020,2020
The Good Plumber,Comedy,Czech,Movie,Czech Republic,120,Toms Vorel,R,0,0,0,11/13/2020,2020
Seznmka,Comedy,Czech,Movie,Czech Republic,120,Zita Marinovov,R,0,0,0,11/13/2020,2020
The Life Ahead,Drama,Italian,Movie,Lithuania,120,Edoardo Ponti,PG-13,8,24,0,11/13/2020,2020
Jingle Jangle A Christmas Journey,Family,English,Movie,Lithuania,170,David E Talbert,PG,0,16,0,11/13/2020,2020
Memories of a Teenager,Drama,Spanish,Movie,United States,120,Lucas Santa Ana,R,1,1,0,11/13/2020,2020
Ludo,Fantasy,Bengali,Movie,Russia,170,Qaushiq Mukherjee,R,0,0,0,11/13/2020,2020
Ethos,Documentary,English,Series,Lithuania,30,Pete McGrain,Unrated,0,0,0,11/13/2020,2020
Scandal in Sorrento,Comedy,Italian,Movie,Lithuania,120,Dino Risi,R,3,0,0,11/13/2020,2020
40 and Single,Drama,English,Series,United Kingdom,30,Steven Spielberg ,R,0,0,0,11/12/2020,2020
The Liberator,Biography,Spanish,Series,Lithuania,30,Alberto Arvelo,R,1,3,113067,11/12/2020,2020
Trial 4,Documentary,English,Series,Lithuania,30,Steven Spielberg ,TV-MA,0,0,0,11/12/2020,2020
Aunty Donnas Big Ol House of Fun,Comedy,English,Series,Lithuania,30,Steven Spielberg ,R,0,0,0,11/12/2020,2020
A Queen Is Born,Comedy,English,Series,Lithuania,30,Albert McCleery,R,0,0,0,11/12/2020,2020
What We Wanted,Drama,German,Movie,Lithuania,120,Ulrike Kofler,TV-MA,0,0,0,11/12/2020,2020
First Love,Action,Japanese,Movie,Lithuania,170,Takashi Miike,TV-MA,0,10,218329,11/12/2020,2020
A Very Special Love,Comedy,Filipino,Movie,Lithuania,120,Cathy GarciaMolina,TV-PG,0,19,0,11/12/2020,2020
Axolotl Overkill,Drama,German,Movie,Switzerland,120,Helene Hegemann,R,2,5,0,11/11/2020,2020
Territory,Adventure,Russian,Movie,Russia,170,Aleksandr Melnik,R,1,2,0,11/11/2020,2020
The Hero,Drama,English,Movie,Russia,120,Brett Haley,R,2,6,4077333,11/11/2020,2020
30 Dates,Comedy,English,Movie,Russia,120,Steven Spielberg ,R,0,0,0,11/11/2020,2020
Trash Truck,Animation,English,Series,Lithuania,30,Steven Spielberg ,TV-Y,0,0,0,11/11/2020,2020
DASH  LILY,Short,English,Series,Lithuania,30,Natalia Leite,R,0,0,0,11/11/2020,2020
A Lion in the House,Documentary,English,Series,Lithuania,30,Julia Reichert,Unrated,1,3,0,11/10/2020,2020
Girls Revenge,Drama,English,Movie,Lithuania,120,David Fincher,R,64,187,167767189,11/7/2020,2020
Citation,Drama,English,Movie,Lithuania,170,Kunle Afolayan,TV-MA,0,0,0,11/7/2020,2020
Who You Think I Am,Drama,French,Movie,United Kingdom,120,Safy Nebbou,R,1,0,0,11/6/2020,2020
Wrong Kind of Black,Comedy,English,Series,Lithuania,30,Steven Spielberg ,R,1,0,0,11/6/2020,2020
The SpongeBob Movie Sponge on the Run,Animation,English,Movie,United Kingdom,120,Tim Hill,PG,0,0,4810790,11/5/2020,2020
Operation Christmas Drop,Comedy,English,Movie,Germany,120,Martin Wood,TV-G,0,0,0,11/5/2020,2020
Carmel Who Killed Maria Marta,Documentary,Spanish,Series,Germany,30,Steven Spielberg ,TV-14,0,0,0,11/5/2020,2020
Unter Deutschen Betten,Comedy,German,Movie,Switzerland,120,Jan Fehse,R,0,0,0,11/5/2020,2020
Paranormal,Horror,English,Series,Germany,30,Oren Peli,R,3,12,107918810,11/5/2020,2020
Ten Years Late,Fantasy,Chinese,Series,South Korea,30,Steven Spielberg ,R,0,0,0,11/5/2020,2020
Christmas with a Prince,Romance,English,Movie,United States,120,Justin G Dyck,TV-PG,0,0,0,11/5/2020,2020
Mr Heart,Drama,Korean,Movie,South Korea,120,Steven Spielberg ,R,0,0,0,11/5/2020,2020
Peninsula,Drama,English,Movie,South Korea,120,Tim Rolt,R,2,4,0,11/5/2020,2020
The Secret Dare to Dream,Drama,English,Movie,United Kingdom,120,Andy Tennant,PG,0,1,0,11/5/2020,2020
The War of the Roses,Comedy,English,Movie,South Korea,120,Danny DeVito,R,2,9,86888546,11/5/2020,2020
Jay and Silent Bob Reboot,Adventure,English,Movie,South Korea,120,Kevin Smith,R,0,1,4589490,11/5/2020,2020
Harriet,Action,English,Movie,South Korea,170,Kasi Lemmons,PG-13,23,50,43082155,11/5/2020,2020
Dolittle,Adventure,English,Movie,South Korea,120,Stephen Gaghan,PG,1,1,77047065,11/5/2020,2020
Cats,Comedy,English,Movie,South Korea,120,Tom Hooper,PG,11,7,27166770,11/5/2020,2020
Jan Palach,Biography,Czech,Movie,Czech Republic,120,Robert Sedlcek,R,3,8,0,11/5/2020,2020
Stuck with a Perfect Woman,Comedy,Czech,Movie,Czech Republic,120,Tomas Hoffman,R,0,0,0,11/5/2020,2020
Hastrman,Drama,Czech,Movie,Czech Republic,120,Ondrej Havelka,R,4,5,0,11/5/2020,2020
El rey del sapo,Comedy,Spanish,Movie,Brazil,170,Harold Devasten,R,0,0,0,11/5/2020,2020
Love  Anarchy,Drama,English,Series,Lithuania,30,Gaspar No,TV-MA,2,1,249083,11/5/2020,2020
One More Try,Drama,English,Movie,Lithuania,120,Ruel S Bayani,TV-14,10,35,0,11/5/2020,2020
AloneTogether,Drama,Filipino,Movie,Lithuania,120,Antoinette Jadaone,R,0,0,0,11/5/2020,2020
The Mermaid,Comedy,Mandarin,Movie,Russia,120,Stephen Chow,R,8,13,3232685,11/4/2020,2020
Night Shift,Comedy,English,Movie,Russia,120,Ron Howard,R,1,0,21095638,11/4/2020,2020
The Yard,Crime,Turkish,Movie,Russia,120,Steven Spielberg ,R,3,10,0,11/4/2020,2020
The Big Trip,Animation,English,Movie,Australia,120,Natalya Nilova,G,0,0,0,11/4/2020,2020
Beyond the Edge,Action,English,Movie,Russia,120,Aleksandr Boguslavskiy,Unrated,0,0,0,11/4/2020,2020
Miss India,Drama,Telugu,Movie,United States,170,Narendra Nath,TV-PG,0,0,0,11/4/2020,2020
Leisure Time,Short,English,Movie,Israel,120,Steven Spielberg ,R,0,0,0,11/4/2020,2020
Prince of the Seas,Adventure,Arabic,Movie,Israel,120,Wael Ihsan,R,0,0,0,11/4/2020,2020
Feelings,Drama,French,Movie,Israel,120,Nomie Lvovsky,R,1,5,0,11/4/2020,2020
Ali Babas Cinema,Action,French,Movie,Israel,120,Pierre Aknine,R,0,0,0,11/4/2020,2020
MOTHER,Crime,Korean,Movie,Lithuania,170,Bong Joon Ho,R,44,46,551509,11/4/2020,2020
The Unicorn,Comedy,English,Series,United States,30,Steven Spielberg ,TV-PG,0,1,0,11/3/2020,2020
The Parkers,Comedy,English,Series,United States,30,Steven Spielberg ,TV-PG,6,11,0,11/3/2020,2020
One on One,Comedy,English,Series,United States,30,Steven Spielberg ,TV-14,1,8,0,11/3/2020,2020
Man with a Plan,Comedy,English,Series,United States,30,Steven Spielberg ,TV-PG,1,0,0,11/3/2020,2020
Leah Remini Scientology and the Aftermath,Documentary,English,Series,United States,30,Steven Spielberg ,TV-14,5,10,0,11/3/2020,2020
Half  Half,Comedy,English,Series,United States,30,Steven Spielberg ,TV-14,30,72,0,11/3/2020,2020
Girlfriends,Comedy,English,Series,United States,30,Steven Spielberg ,TV-PG,8,38,0,11/3/2020,2020
Forged in Fire,Game-Show,English,Series,United States,30,Steven Spielberg ,TV-PG,0,0,0,11/3/2020,2020
Evil,Drama,Swedish,Series,United States,30,Mikael Hfstrm,Unrated,9,10,15530,11/3/2020,2020
Chappelles Show,Comedy,English,Series,United States,30,Stan Lathan,TV-MA,3,5,0,11/3/2020,2020
The Outpost,Action,English,Movie,United States,170,Rod Lurie,R,1,5,0,11/3/2020,2020
Raising Victor Vargas,Drama,English,Movie,United States,120,Peter Sollett,R,4,14,2078661,11/3/2020,2020
Tortilla Soup,Comedy,English,Movie,United States,120,Maria Ripoll,PG-13,2,7,4467615,11/3/2020,2020
Tremors Shrieker Island,Action,English,Movie,United States,120,Don Michael Paul,PG-13,0,0,0,11/3/2020,2020
Villain,Action,Malayalam,Movie,United States,120,B Unnikrishnan,Unrated,0,0,0,11/3/2020,2020
Walk Away from Love,Romance,English,Movie,United States,120,Christopher Nolen,TV-14,0,0,0,11/3/2020,2020
Welcome to Sudden Death,Action,English,Movie,United States,120,Dallas Jackson,R,0,0,0,11/3/2020,2020
Wish Upon a Unicorn,Adventure,English,Movie,United States,120,Steve Bencich,PG,0,0,0,11/3/2020,2020
Yes God Yes,Comedy,English,Movie,United States,120,Karen Maine,R,2,1,0,11/3/2020,2020
I Am Vengeance Retaliation,Action,English,Movie,United States,120,Ross Boyask,R,0,0,0,11/3/2020,2020
I Am Woman,Biography,English,Movie,United States,120,Unjoo Moon,R,1,11,0,11/3/2020,2020
The Hummingbird Project,Drama,Russian,Movie,United States,120,Kim Nguyen,R,2,5,371784,11/3/2020,2020
Fishermans Friends,Drama,None,Movie,United States,120,Sacha Ketoff,R,0,0,0,11/3/2020,2020
Capital in the TwentyFirst Century,Documentary,English,Movie,United States,120,Justin Pemberton,R,0,1,0,11/3/2020,2020
